Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
11/DD/YY,797.19,39112,4.10,0.52,0.57,"1,140.29","1,110.66",794.00,798.20,791.35,746.81
11/DD/YY,793.09,1832849,2.26,0.29,0.29,"1,133.85","1,103.83",790.44,797.36,775.58,742.03
11/DD/YY,790.83,2045978,5.31,0.68,0.68,"1,130.62","1,100.40",777.00,806.00,773.00,739.63
11/DD/YY,785.52,1569490,-3.85,-0.49,-0.49,"1,123.03","1,092.34",789.57,796.00,781.44,734.00
10/DD/YY,789.37,1328350,-0.79,-0.10,-0.10,"1,128.54","1,098.18",784.98,791.72,783.00,738.08
10/DD/YY,790.16,1829451,7.10,0.91,0.91,"1,129.66","1,099.38",783.56,807.14,780.60,738.92
10/DD/YY,783.06,2251507,-9.03,-1.14,-1.14,"1,119.51","1,088.60",788.00,800.49,778.82,731.38
10/DD/YY,792.09,1242031,2.10,0.27,0.27,"1,132.42","1,102.31",792.05,798.36,787.35,740.97
10/DD/YY,789.99,1645272,6.11,0.78,0.78,"1,129.42","1,099.12",789.00,796.71,787.01,738.74
10/DD/YY,783.88,2505628,33.10,4.41,4.41,"1,120.69","1,089.85",759.85,784.61,756.00,732.25
10/DD/YY,750.78,1615360,6.18,0.83,0.83,"1,073.36","1,039.60",749.34,755.00,744.66,697.11
10/DD/YY,744.60,2141448,-14.38,-1.89,-1.89,"1,064.53","1,030.22",760.61,760.61,743.11,690.55
10/DD/YY,758.98,1782194,-4.34,-0.57,-0.57,"1,085.09","1,052.05",759.00,765.30,758.27,705.82
10/DD/YY,763.32,1925438,12.55,1.67,1.67,"1,091.29","1,058.64",757.00,766.42,752.88,710.43
10/DD/YY,750.77,2884713,-7.32,-0.97,-0.97,"1,073.35","1,039.59",758.15,758.94,740.01,697.10
10/DD/YY,758.09,3160922,-9.84,-1.28,-1.28,"1,083.82","1,050.70",770.66,781.44,752.41,704.87
10/DD/YY,767.93,3217433,-2.83,-0.37,-0.37,"1,097.88","1,065.64",778.62,782.49,762.66,715.32
10/DD/YY,770.76,4710809,-16.02,-2.04,-2.04,"1,101.93","1,069.93",764.45,786.57,742.46,718.33
10/DD/YY,786.78,2766010,22.42,2.93,2.93,"1,124.83","1,094.25",777.88,791.05,777.88,735.33
10/DD/YY,764.36,2457850,-15.60,-2.00,-2.00,"1,092.78","1,060.22",783.12,791.66,764.00,711.53
10/DD/YY,779.96,1575049,3.45,0.44,0.44,"1,115.08","1,083.90",778.85,782.91,771.35,728.09
10/DD/YY,776.51,1939277,-13.14,-1.66,-1.66,"1,110.15","1,078.66",791.75,795.00,774.34,724.43
10/DD/YY,789.65,1547401,-7.13,-0.89,-0.89,"1,128.94","1,098.60",798.00,805.32,781.39,738.38
10/DD/YY,796.78,1632584,6.80,0.86,0.86,"1,139.13","1,109.43",795.00,802.50,780.05,745.95
10/DD/YY,789.98,1470517,10.60,1.36,1.36,"1,129.41","1,099.11",783.00,794.92,777.86,738.73
10/DD/YY,779.38,1553849,-6.13,-0.78,-0.78,"1,114.25","1,083.02",788.88,791.00,772.44,727.48
10/DD/YY,785.51,1789094,-10.84,-1.36,-1.36,"1,123.02","1,092.32",793.62,796.28,783.23,733.99
09/DD/YY,796.35,2463934,-7.77,-0.97,-0.97,"1,138.51","1,108.77",805.50,809.62,786.45,745.49
09/DD/YY,804.12,1059139,1.61,0.20,0.20,"1,149.62","1,120.57",807.80,808.84,797.99,753.74
09/DD/YY,802.51,1376242,7.75,0.98,0.98,"1,147.32","1,118.12",797.16,809.50,795.13,752.03
09/DD/YY,794.76,1413098,2.33,0.29,0.29,"1,136.24","1,106.36",786.00,798.18,782.01,743.81
09/DD/YY,792.43,1402486,-13.89,-1.72,-1.72,"1,132.91","1,102.82",809.55,812.84,792.34,741.33
09/DD/YY,806.32,1759168,0.76,0.09,0.09,"1,152.77","1,123.91",807.10,825.25,802.00,756.08
09/DD/YY,805.56,1151214,0.56,0.07,0.07,"1,151.68","1,122.75",801.14,806.03,797.54,755.27
09/DD/YY,805.00,3789814,0.69,0.09,0.09,"1,150.88","1,121.90",804.09,809.66,797.37,754.68
09/DD/YY,804.31,1501837,10.09,1.27,1.27,"1,149.89","1,120.86",795.57,807.28,792.40,753.95
09/DD/YY,794.22,1945281,8.69,1.11,1.11,"1,135.47","1,105.54",788.86,798.57,785.23,743.23
09/DD/YY,785.53,1529464,-1.23,-0.16,-0.16,"1,123.05","1,092.35",789.53,790.01,779.69,734.01
09/DD/YY,786.76,1292267,6.70,0.86,0.86,"1,124.80","1,094.22",782.95,792.38,781.44,735.31
