,30 SEP '25,30 JUN '25,31 MAR '25,31 DEC '24,30 SEP '24,30 JUN '24,31 MAR '24,31 DEC '23,30 SEP '23,30 JUN '23,31 MAR '23,31 DEC '22,30 SEP '22,30 JUN '22,31 MAR '22,31 DEC '21,30 SEP '21,30 JUN '21,31 MAR '21,31 DEC '20,30 SEP '20,30 JUN '20,31 MAR '20,31 DEC '19,30 SEP '19,30 JUN '19,31 MAR '19,31 DEC '18,30 SEP '18,30 JUN '18,31 MAR '18,31 DEC '17,30 SEP '17,30 JUN '17,31 MAR '17,31 DEC '16,30 SEP '16,30 JUN '16,31 MAR '16,31 DEC '15,30 SEP '15,30 JUN '15,31 MAR '15,31 DEC '14,30 SEP '14,30 JUN '14,31 MAR '14,31 DEC '13,30 SEP '13,30 JUN '13,31 MAR '13,31 DEC '12,30 SEP '12,30 JUN '12,31 MAR '12,31 DEC '11,30 SEP '11,30 JUN '11,31 MAR '11,31 DEC '10,30 SEP '10,30 JUN '10,31 MAR '10,31 DEC '09,25 SEP '09,26 JUN '09,27 MAR '09,28 NOV '08,29 AUG '08,30 MAY '08,29 FEB '08,30 NOV '07,31 AUG '07,25 MAY '07,23 FEB '07,24 NOV '06,25 AUG '06,25 NOV '05
,,,,,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,RECAP
Total assets,"1.808,0","1.785,0","1.766,2","1.676,0","1.728,1","1.653,3","1.698,4","1.641,6","1.577,2","1.571,4","1.538,3","1.441,8","1.556,0","1.601,2","1.589,4","1.464,0","1.443,2","1.387,9","1.301,5","1.163,0","1.132,1","1.141,5","1.089,8","993,0","1.007,3","944,9","925,3","931,8","957,2","968,6","973,5","916,8","930,1","906,5","894,1","860,2","880,0","896,8","878,0","861,4","880,6","859,9","865,5","855,8","868,9","859,9","915,7","911,5","923,2","938,5","959,2","938,6","949,2","948,6","950,9","923,2","948,9","936,9","933,3","911,3","908,7","883,2","880,5","848,9","882,2","889,5","925,3","884,5","1.081,8","1.088,1","1.189,0","1.119,8","1.045,8","943,2","912,5","838,2","798,3","706,8"
Cash and cash equivalents,"169,6","153,0","167,4","182,1","154,7","206,3","209,4","241,6","239,9","270,9","229,3","241,8","284,3","288,6","274,2","261,0","211,8","240,3","191,2","155,8","153,2","132,6","105,5","133,5","94,1","91,1","87,9","130,5","118,9","131,4","120,5","110,1","116,6","110,9","123,0","121,7","99,5","103,3","79,2","93,4","65,6","60,8","63,1","57,6","54,2","57,0","58,9","61,1","65,5","72,4","63,3","72,7","63,6","58,9","57,1","56,0","44,2","45,4","42,7","39,8","36,1","32,6","27,1","38,3","23,0","22,2","35,4","15,7","12,2","13,8","12,7","10,3","12,7","8,0","6,9","6,3","10,1","10,3"
Securities borrowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"210,2",
Cash and securities segregated for regulatory and other purposes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,5","64,6","58,3",,"58,2","35,3","42,3","51,7","44,2","40,7","60,2","49,7","53,9","51,9","41,0","49,7","53,6","56,7","53,1","64,3","77,4","61,5","53,5","53,7","52,2","56,4","43,1","36,7","43,0","53,8","69,6","106,7","99,4","84,9","104,5","119,9","97,7","78,3","78,3","81,0","76,3","51,4"
Collateralized agreements,"347,5","367,1","398,3","374,7","416,9","403,2","446,8","423,2","387,6","388,3","405,3","414,2","379,5","447,7","453,4","384,5","399,7","350,4","324,3","250,2","228,7","273,6","254,0","221,8","278,7","276,1","280,4","274,5","298,3","298,0","309,0","311,7","300,9","293,9","304,7","301,5","279,7","297,8","309,1","311,9","300,2","301,6","279,9","288,7","298,0","273,8","325,8","326,3","345,0","328,4","330,5","278,2","312,6","334,9","350,1","341,1","342,8","337,8","346,3","354,7","362,2","359,4","369,2","334,2","364,4","356,9","371,4","302,8","438,1","429,3","401,8","364,7","347,7","313,0","323,2","301,5","83,0","275,4"
Securities purchased under agreements to resell and federal funds sold,"129,8","153,8","186,4","180,1","212,2","198,6","231,9","223,8","190,7","199,9","202,2","225,1","182,5","239,0","262,1","205,7","213,1","154,1","146,1","108,1","101,3","130,8","132,3","85,7","138,3","137,6","132,4","139,3","143,4","135,2","131,5","120,8","112,5","115,6","117,3","116,9","94,2","107,2","128,5","134,3","126,9","123,6","113,2","127,9","125,7","109,1","135,0","161,7","169,9","153,6","158,5","141,3","147,4","167,3","181,1","187,8","185,9","162,3","162,1","188,4","178,1","169,3","166,4","144,3","142,6","138,3","143,2","122,0","135,4","130,9","107,8","87,3","80,5","69,2","81,9","82,1","83,0","83,6"
Securities borrowed,"217,7","213,3","211,9","194,6","204,8","204,6","214,9","199,4","196,9","188,4","203,2","189,0","197,0","208,7","191,4","178,8","186,7","196,3","178,2","142,2","127,4","142,8","121,7","136,1","140,4","138,5","148,0","135,3","154,9","162,8","177,6","190,8","188,4","178,3","187,4","184,6","185,5","190,6","180,6","177,6","173,3","178,0","166,7","160,7","172,4","164,7","190,7","164,6","175,1","174,8","172,0","136,9","165,3","167,5","169,1","153,3","156,9","175,5","184,2","166,3","184,1","190,1","202,8","189,9","221,8","218,5","228,2","180,8","302,7","298,4","294,0","277,4","267,2","243,8","241,3","219,3",,"191,8"
Receivables,"399,0","398,6","375,2","329,9","336,7","326,1","344,4","315,9","319,1","335,4","322,7","314,7","342,1","339,2","340,2","319,2","315,4","292,6","285,9","237,4","223,0","223,6","249,4","183,5","168,9","167,7","156,1","170,3","159,3","162,7","179,7","150,7","149,6","145,6","130,6","115,5","128,6","126,7","120,3","117,3","141,2","133,1","130,9","123,4","125,0","119,2","114,9","112,8","97,7","97,4","98,4","91,4","80,3","86,8","82,1","74,5","88,4","94,2","87,6","78,1","77,3","70,7","71,4","67,9","69,9","72,3","70,5","90,6","104,2","123,1","144,3","148,2","135,6","135,2","109,3","93,0","89,3","75,4"
"Brokers, dealers and clearing organizations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,3","28,9","37,7",,"28,4","32,3","25,8","18,0","25,7","26,7","23,0","25,5","47,0","38,3","39,7","30,7","27,4","28,2","28,3","23,8","23,6","23,3","20,5","18,5","15,6","19,1","16,9","14,2","22,1","16,8","12,2","10,4","15,9","13,5","13,6","12,6","15,1","21,9","20,4","25,9","21,0","23,1","30,4","19,1","19,1","15,4","13,0","13,2","13,2","15,2"
Customers and counterparties,"399,0","398,6","375,2","329,9","336,7","326,1","344,4","315,9","319,1","335,4","322,7","314,7","342,1","339,2","340,2","319,2","315,4","292,6","285,9","237,4","223,0","223,6","249,4","183,5","168,9","167,7","156,1","170,3","131,0","133,9","142,0","150,7","121,2","113,3","104,8","97,5","102,9","99,9","97,3","91,8","94,2","94,7","91,2","92,7","97,6","91,0","86,6","88,9","74,1","74,1","77,9","72,9","64,8","67,7","65,2","60,3","66,3","77,4","75,4","67,7","61,4","57,3","57,9","55,3","54,9","50,4","50,1","64,7","83,2","99,9","113,9","129,1","116,5","119,8","96,3","79,8","76,1","60,2"
Customers and counterparties excluding loans receivable,"176,6","181,5","165,1","133,7","144,9","142,0","160,4","132,5","140,9","157,3","144,6","135,4","165,4","163,3","174,6","160,7","171,8","162,1","164,7","121,3","111,2","106,5","120,9","74,6","83,1","83,9","73,4","72,5","55,0","59,8","70,3","84,8","59,7","59,3","54,5","47,8","53,9","51,7","49,4","46,4","52,0","56,3","58,6","63,8",,,,"74,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans receivable,"222,4","217,2","210,1","196,2","191,7","184,1","183,9","183,4","178,3","178,1","178,1","179,3","176,7","175,9","165,5","158,6","143,6","130,5","121,3","116,1","111,8","117,1","128,5","108,9","85,8","83,8","82,7","97,8","76,0","74,1","71,7","65,9","61,5","54,0","50,4","49,7","49,1","48,2","47,9","45,4","42,2","38,4","32,6","28,9",,,,"14,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trading assets,"652,6","628,1","595,7","570,6","601,3","522,0","507,7","477,5","448,1","400,3","407,4","301,2","384,0","371,9","392,5","375,9","393,0","375,9","374,2","393,6","408,4","397,3","375,5","355,3","425,0","370,9","363,3","280,2","351,0","348,0","336,9","316,0","333,5","327,7","308,9","296,0","292,4","280,0","286,9","313,5","290,5","303,5","325,9","312,2","325,3","345,8","332,5","339,1","324,3","356,2","387,4","407,0","415,3","387,2","385,5","364,2","371,5","370,6","374,8","357,0","351,8","334,9","339,4","342,4","352,2","355,3","349,6","338,3","400,1","411,2","498,9","452,6","428,2","384,0","372,9","334,6","309,2","277,0"
"Financial instruments owned, at fair value excluding financial instruments owned and pledged as collateral, at fair value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"362,8","373,8","459,3",,"380,0","341,8","334,2","298,6","269,2","238,0"
"Financial instruments owned and pledged as collateral, at fair value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,3","37,4","39,5",,"48,2","42,2","38,7","36,0","39,9","39,0"
Investments,"203,8","202,4","195,7","184,5","183,7","160,9","154,9","146,8","145,5","137,6","131,8","130,6","127,0","114,8","92,1","88,7","86,7","90,7","88,0","88,4","80,8","76,6","68,7","63,9",,,,"47,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Securities borrowed at fair value,"104,0","103,4","90,7","79,5",,,,"49,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Held-to-maturity securities,"73,6","72,6","79,0","78,7",,,,"70,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments excluding securities borrowed at fair value and held-to-maturity securities,"26,2","26,4","26,0","26,3","183,7","160,9","154,9","27,4","145,5","137,6","131,8","130,6","127,0","114,8","92,1","88,7","86,7","90,7","88,0","88,4","80,8","76,6","68,7","63,9",,,,"47,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other assets,"35,6","35,7","33,9","34,2","34,9","34,7","35,3","36,6","36,9","38,8","41,8","39,2","39,2","39,1","37,2","34,6","36,6","38,0","37,9","37,4","38,0","37,8","36,7","34,9","40,6","39,1","37,7","29,0","29,6","28,5","27,4","28,3","29,5","28,5","26,8","25,5","25,2","24,5","24,3","25,2","24,9","25,6","23,2","22,2","22,2","23,4","23,5","22,5","36,9","32,3","38,5","39,6","23,7","24,2","23,0","23,2","24,7","27,5","28,4","28,1","29,1","29,2","30,3","29,5","29,7","29,1","28,8","30,4","27,7","25,9","26,8","24,1","24,0","24,6","22,0","21,9","20,3","17,3"
Total liabilities and shareholders' equity,"1.808,0","1.785,0","1.766,2","1.676,0","1.728,1","1.653,3","1.698,4","1.641,6","1.577,2","1.571,4","1.538,3","1.441,8","1.556,0","1.601,2","1.589,4","1.464,0","1.443,2","1.387,9","1.301,5","1.163,0","1.132,1","1.141,5","1.089,8","993,0","1.007,3","944,9","925,3","931,8","957,2","968,6","973,5","916,8","930,1","906,5","894,1","860,2","880,0","896,8","878,0","861,4","880,6","859,9","865,5","855,8","868,9","859,9","915,7","911,5","923,2","938,5","959,2","938,6","949,2","948,6","950,9","923,2","948,9","936,9","933,3","911,3","908,7","883,2","880,5","848,9","882,2","889,5","925,3","884,5","1.081,8","1.088,1","1.189,0","1.119,8","1.045,8","943,2","912,5","838,2","798,3","706,8"
Total liabilities,"1.683,6","1.660,9","1.641,9","1.554,0","1.606,9","1.533,9","1.579,9","1.524,7","1.459,9","1.454,9","1.420,8","1.324,6","1.436,7","1.483,4","1.474,2","1.354,1","1.336,9","1.286,0","1.203,9","1.067,1","1.039,4","1.051,5","997,4","902,7","915,3","854,0","835,1","841,6","870,4","882,0","890,0","834,5","843,8","819,8","807,2","773,3","792,9","810,3","791,2","774,7","792,9","772,2","780,3","773,0","786,7","778,3","836,6","833,0","845,6","860,4","882,0","862,8","875,5","875,8","879,3","852,8","878,8","864,6","860,8","834,0","833,0","809,4","807,6","778,2","816,8","826,7","861,7","820,2","1.036,2","1.043,3","1.146,4","1.077,0","1.006,7","904,7","875,6","802,4","764,8","678,8"
Deposits,"490,2","466,1","471,1","433,0","445,3","433,1","440,7","428,4","403,0","398,9","375,5","386,7","394,7","391,3","386,8","364,2","333,0","306,1","286,0","260,0","261,2","268,5","220,0","190,0","182,7","166,4","164,1","158,3","151,5","153,4","150,9","138,6","132,8","125,5","127,9","124,1","124,6","123,7","104,9","97,5","91,5","89,1","86,1","82,9","78,0","73,8","71,5","70,8","71,6","69,4","72,7","70,1","61,5","57,3","50,9","46,1","41,8","39,0","38,7","38,6","38,4","37,0","38,4","39,4","42,4","41,5","44,5","27,6","29,1","29,5","27,0","15,4","14,1","12,9",,"10,7",,
Collateralized financings,"300,2","310,6","330,1","358,6","347,2","325,2","348,8","323,6","295,3","284,4","262,2","155,0","219,1","228,3","226,9","230,9","228,6","217,5","192,6","173,9","143,5","130,7","146,9","152,0","139,8","102,5","102,9","112,0","128,6","135,9","137,9","124,3","122,3","118,1","120,6","100,9","101,6","107,0","108,2","114,4","118,2","118,9","116,7","116,6","128,9","141,6","182,1","208,3","203,9","206,6","205,5","217,6","209,2","198,7","214,4","209,0","194,2","204,4","214,6","211,9","189,1","186,8","192,4","167,7","172,6","183,6","192,1","118,6","192,4","203,3","257,8","253,5","258,8","246,7","266,9","220,1","154,5","196,0"
"Securities sold under agreements to repurchase, at fair value","217,8","230,2","249,0","274,4","261,6","238,1","267,5","249,9","225,7","223,0","197,4","110,3","159,7","172,9","164,6","165,9","167,3","151,7","130,6","126,6","101,3","88,3","95,9","117,8","109,4","70,9","70,6","78,7","85,9","93,2","94,7","84,7","86,4","83,6","88,5","71,8","73,9","77,5","77,6","86,1","89,5","87,6","85,8","88,2","96,7","107,0","138,7","164,8","157,8","159,0","155,4","171,8","166,2","160,4","173,1","164,5","143,5","155,5","165,5","162,3","150,4","149,9","153,5","128,4","127,0","133,0","133,4","62,9","110,2","115,7","161,5","159,2","160,3","144,4","192,7","147,5","128,1","149,0"
Securities loaned,"57,6","58,6","56,3","56,1","62,1","63,9","66,3","60,5","54,9","48,0","46,3","30,7","43,8","38,3","43,8","46,5","41,5","38,2","34,3","21,6","17,3","16,6","13,9","15,0","13,3","13,5","12,6","11,8","16,2","16,3","16,5","14,8","13,2","12,0","9,7","7,5","5,3","4,0","4,4","3,6","3,5","7,3","6,7","5,6","6,3","9,4","18,3","18,7","19,0","20,3","20,7","13,8","13,6","9,4","8,1","7,2","8,7","14,5","12,2","11,2","12,0","11,1","14,8","15,2","17,6","20,3","18,9","17,1","29,4","34,4","26,1","28,6","23,8","38,1","26,3","22,2","26,4","23,3"
Other secured financings,"24,8","21,9","24,8","28,2","23,5","23,1","15,1","13,2","14,7","13,4","18,5","13,9","15,6","17,2","18,5","18,5","19,7","27,6","27,7","25,8","25,0","25,9","37,2","19,3","17,1","18,1","19,7","21,4","26,5","26,4","26,8","24,8","22,7","22,4","22,4","21,5","22,5","25,5","26,2","24,8","25,2","24,0","24,1","22,8","25,9","25,2","25,0","24,8","27,1","27,3","29,5","32,0","29,4","28,8","33,1","37,4","42,0","34,5","36,9","38,4","26,6","25,8","24,0","24,1","28,0","30,3","39,8","38,7","52,8","53,1","70,1","65,7","74,8","64,2","47,9","50,4",,"23,6"
