,30 SEP '25,30 JUN '25,31 MAR '25,31 DEC '24,30 SEP '24,30 JUN '24,31 MAR '24,31 DEC '23,30 SEP '23,30 JUN '23,31 MAR '23,31 DEC '22,30 SEP '22,30 JUN '22,31 MAR '22,31 DEC '21,30 SEP '21,30 JUN '21,31 MAR '21,31 DEC '20,30 SEP '20,30 JUN '20,31 MAR '20,31 DEC '19,30 SEP '19,30 JUN '19,31 MAR '19,31 DEC '18,30 SEP '18,30 JUN '18,31 MAR '18,31 DEC '17,30 SEP '17,30 JUN '17,31 MAR '17,31 DEC '16,30 SEP '16,30 JUN '16,31 MAR '16,31 DEC '15,30 SEP '15,30 JUN '15,31 MAR '15,31 DEC '14,30 SEP '14,30 JUN '14,31 MAR '14,31 DEC '13,30 SEP '13,30 JUN '13,31 MAR '13,31 DEC '12,30 SEP '12,30 JUN '12,31 MAR '12,31 DEC '11,30 SEP '11,30 JUN '11,31 MAR '11,31 DEC '10,30 SEP '10,30 JUN '10,31 MAR '10,31 DEC '09,30 SEP '09,30 JUN '09,31 MAR '09,31 DEC '08,31 DEC '07,31 DEC '06,31 DEC '05
,PRELIM,,,,,,,RECAP,,,,RECAP,,,,RECAP,,PRELIM,PRELIM,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,RECAP,RECAP,RECAP
Total assets,"4.560,2","4.552,5","4.357,9","4.002,8","4.210,0","4.143,0","4.090,7","3.875,4","3.898,3","3.868,2","3.744,3","3.665,7","3.773,9","3.841,3","3.954,7","3.743,6","3.757,6","3.684,3","3.689,3","3.384,8","3.246,1","3.213,1","3.139,4","2.687,4","2.764,7","2.727,4","2.737,2","2.622,5","2.615,2","2.590,1","2.609,8","2.533,6","2.563,1","2.563,2","2.546,3","2.491,0","2.521,0","2.466,1","2.423,8","2.351,7","2.417,1","2.449,6","2.577,1","2.572,3","2.527,0","2.520,3","2.477,0","2.415,7","2.463,3","2.439,5","2.389,3","2.359,1","2.321,3","2.290,1","2.320,3","2.265,8","2.289,2","2.246,8","2.198,2","2.117,6","2.141,6","2.014,0","2.135,8","2.032,0","2.041,0","2.026,6","2.079,2","2.175,1","1.562,1","1.351,5","1.198,9"
Cash and due from banks,"21,8","23,8","22,1","23,4","22,9","27,3","22,8","29,1","24,9","26,1","25,1","27,7","24,7","27,2","26,2","26,4","25,9","26,6","25,4","24,9","20,8","20,5","24,0","21,7","21,2","23,2","21,9","22,3","23,2","23,7","24,8","25,9","22,0","21,8","20,5","23,9","21,4","19,7","18,2","20,5","21,3","24,1","22,8","27,8","25,4","27,5","26,3","39,8","30,7","29,2","45,5","53,7","53,3","44,9","55,4","59,6","56,8","30,5","23,5","27,6","24,0","32,8","31,4","26,2","21,1","25,1","26,7","26,9","40,1","40,4","36,7"
Deposits with banks,"281,6","396,6","403,8","445,9","411,4","503,6","539,4","595,1","486,4","469,1","520,9","539,5","619,5","642,0","728,4","714,4","734,0","678,8","685,7","502,7","466,7","473,2","343,5","241,9","235,4","244,9","280,7","256,5","395,9","381,5","390,0","405,4","435,8","427,4","439,9","365,8","396,2","345,6","360,2","340,0","376,2","398,8","506,4","484,5","414,3","393,9","372,5","316,1","371,4","311,3","257,6","121,8","104,3","130,4","115,0","85,3","128,9","169,9","80,8","21,7","31,1","39,4","59,0","63,2","59,6","61,9","89,9","138,1","11,5","13,5","21,7"
Federal funds sold and securities purchased under resale agreements,"425,8","470,6","429,5","295,0","390,8","392,8","330,6","276,2","350,1","325,6","317,1","315,6","301,9","322,2","301,9","261,7","282,2","261,0","272,5","296,3","319,8","257,0","248,6","249,2","257,4","267,9","299,1","321,6","217,6","226,5","247,6","198,4","185,5","218,6","190,6","230,0","232,6","237,3","223,2","212,6","218,5","212,9","219,3","215,8","214,3","248,1","265,2","248,1","235,9","252,5","218,3","296,3","282,0","255,2","240,5","235,3","248,0","213,4","217,4","222,6","235,4","199,0","230,1","195,4","171,0","159,2","157,2","203,1","170,9","140,5","134,0"
Securities borrowed,"248,4","224,0","238,7","219,5","252,4","199,1","198,3","200,4","188,3","163,6","195,9","185,4","193,2","202,4","224,9","206,1","203,0","186,4","179,5","160,6","142,4","142,7","139,8","139,8","138,3","130,7","123,2","112,0","122,4","108,2","116,1","105,1","101,7","90,7","92,3","96,4","109,2","103,2","102,9","98,7","105,7","98,5","108,4","110,4","118,9","114,0","122,0","111,5","122,4","117,2","114,1","119,0","133,5","138,2","135,7","142,5","131,6","121,5","119,0","123,6","127,4","122,3","126,7","119,6","128,1","129,3","127,9","124,0","84,2","73,7","74,6"
Trading assets included assets pledged,"952,8","889,9","875,2","637,8","787,5","733,9","754,4","540,6","602,0","637,0","578,9","453,8","506,5","465,6","511,5","433,6","515,9","520,6","544,1","503,1","505,8","526,0","548,6","369,7","495,9","523,4","533,4","413,7","419,8","418,8","412,3","381,8","420,4","407,1","402,5","372,1","374,8","380,8","366,2","343,8","361,7","377,9","399,0","399,0","410,7","392,5","375,2","374,7","383,3","401,5","431,0","450,0","447,1","417,3","456,0","444,0","461,5","458,7","501,1","489,9","475,5","397,5","426,1","411,1","424,4","395,6","429,7","510,0","491,4","365,7","298,4"
Debt and equity instruments,"892,9",,,,,,,,,,,,,,,,,"454,3","475,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative receivables,"59,8",,,,,,,,,,,,,,,,,"66,3","68,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Investment securities, net of allowance for credit losses","783,9","745,9","664,4","681,3","634,5","590,0","570,7","571,6","585,4","612,2","610,1","631,2","618,2","663,7","679,5","672,2","595,1","573,6","597,4","590,0","531,1","558,8","471,1","398,2","394,3","307,3","267,4","261,8","231,4","233,0","238,2","250,0","263,3","263,5","281,9","289,1","272,4","278,6","285,3","290,8","306,7","317,8","331,1","348,0","366,4","361,9","351,9","354,0","356,6","354,7","365,7","371,2","365,9","354,6","381,7","364,8","339,3","324,7","334,8","316,3","340,2","312,0","344,4","360,4","372,9","345,6","333,9","205,9","85,5","92,0","47,6"
