Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
11/DD/YY,309.25,7040971,-0.10,-0.03,-0.03,651.47,"1,157.87",306.71,312.22,305.10,497.10
11/DD/YY,309.35,7770040,-1.77,-0.57,-0.57,651.68,"1,158.28",311.00,312.32,306.21,497.30
10/DD/YY,311.12,7721297,1.68,0.54,0.54,655.41,"1,165.48",308.54,312.87,307.25,500.71
10/DD/YY,309.44,7514556,3.93,1.29,1.29,651.87,"1,158.64",305.79,312.61,305.10,497.47
10/DD/YY,305.51,7520324,0.15,0.05,0.05,643.59,"1,142.66",303.51,308.25,303.01,489.88
10/DD/YY,305.36,6335993,1.21,0.40,0.40,643.28,"1,142.05",304.86,307.97,303.16,489.59
10/DD/YY,304.15,5642222,3.71,1.23,1.23,640.73,"1,137.13",302.16,304.53,301.01,487.26
10/DD/YY,300.44,7228330,5.90,2.00,2.00,632.91,"1,122.04",296.08,302.60,295.45,480.09
10/DD/YY,294.54,5438810,0.43,0.15,0.15,620.48,"1,098.04",294.38,296.37,292.51,468.70
10/DD/YY,294.11,8054115,-2.98,-1.00,-1.00,619.58,"1,096.29",297.77,298.06,290.54,467.87
10/DD/YY,297.09,7372671,-5.27,-1.74,-1.74,625.86,"1,108.41",301.66,304.05,297.00,473.62
10/DD/YY,302.36,6894943,4.80,1.61,1.61,636.96,"1,129.85",298.50,303.69,298.16,483.80
10/DD/YY,297.56,10153450,-0.98,-0.33,-0.33,626.85,"1,110.32",299.16,299.55,294.20,474.53
10/DD/YY,298.54,10549450,-7.15,-2.34,-2.34,628.91,"1,114.31",305.35,308.68,297.07,476.42
10/DD/YY,305.69,11354780,3.61,1.20,1.20,643.97,"1,143.39",306.39,312.12,305.44,490.23
10/DD/YY,302.08,16178760,-5.89,-1.91,-1.91,636.37,"1,128.71",305.84,307.00,294.21,483.26
10/DD/YY,307.97,10788680,7.08,2.35,2.35,648.78,"1,152.66",305.60,309.46,305.45,494.63
10/DD/YY,300.89,8597384,-4.64,-1.52,-1.52,633.86,"1,123.87",305.66,310.47,300.81,480.96
10/DD/YY,305.53,7060332,1.50,0.49,0.49,643.64,"1,142.74",305.05,308.04,303.39,489.92
10/DD/YY,304.03,6489883,-3.66,-1.19,-1.19,640.48,"1,136.64",308.21,308.78,303.55,487.02
10/DD/YY,307.69,8454217,-1.49,-0.48,-0.48,648.19,"1,151.53",309.35,310.01,304.70,494.09
10/DD/YY,309.18,7214502,-0.85,-0.27,0.21,651.33,"1,157.59",310.18,311.75,305.13,496.97
10/DD/YY,310.03,6029854,2.48,0.81,0.81,649.96,"1,154.96",308.51,311.66,308.21,498.61
10/DD/YY,307.55,7599973,-3.16,-1.02,-1.02,644.76,"1,144.92",310.00,310.56,306.14,493.82
10/DD/YY,310.71,9235211,-4.72,-1.50,-1.50,651.39,"1,157.71",313.97,314.59,307.41,499.92
09/DD/YY,315.43,11823320,-0.26,-0.08,-0.08,661.28,"1,176.81",316.25,317.41,310.11,509.04
09/DD/YY,315.69,6462442,-0.37,-0.12,-0.12,661.83,"1,177.87",317.06,318.01,313.66,509.54
09/DD/YY,316.06,7258136,2.61,0.83,0.83,662.60,"1,179.36",314.90,317.81,313.70,510.25
09/DD/YY,313.45,7083198,0.03,0.01,0.01,657.13,"1,168.80",314.12,315.65,311.80,505.21
09/DD/YY,313.42,7310513,0.68,0.22,0.22,657.07,"1,168.68",314.05,316.58,311.67,505.15
09/DD/YY,312.74,8584420,0.30,0.10,0.10,655.64,"1,165.92",311.82,316.31,310.58,503.84
09/DD/YY,312.44,7520190,-2.34,-0.74,-0.74,655.01,"1,164.71",309.80,313.70,309.56,503.26
09/DD/YY,314.78,23568550,1.55,0.49,0.49,659.92,"1,174.18",313.60,315.80,309.12,507.78
09/DD/YY,313.23,8050671,1.48,0.47,0.47,656.67,"1,167.91",311.79,313.44,309.61,504.79
09/DD/YY,311.75,8657765,2.56,0.83,0.83,653.57,"1,161.92",310.39,312.91,308.77,501.93
09/DD/YY,309.19,10525590,0.29,0.09,0.09,648.20,"1,151.56",310.00,310.90,307.13,496.99
09/DD/YY,308.90,7122015,1.99,0.65,0.65,647.59,"1,150.38",307.17,309.95,307.17,496.43
09/DD/YY,306.91,6846674,1.35,0.44,0.44,643.42,"1,142.33",305.00,307.55,303.70,492.59
09/DD/YY,305.56,7942489,5.02,1.67,1.67,640.59,"1,136.86",301.24,305.73,300.79,489.98
09/DD/YY,300.54,7787303,2.69,0.90,0.90,630.07,"1,116.54",296.70,301.54,295.40,480.29
09/DD/YY,297.85,7848196,4.94,1.69,1.69,624.43,"1,105.65",292.60,299.00,292.31,475.09
09/DD/YY,292.91,8188506,-1.47,-0.50,-0.50,614.07,"1,085.66",294.89,296.46,291.44,465.55
09/DD/YY,294.38,9837709,-9.44,-3.11,-3.11,617.15,"1,091.61",303.65,305.15,294.31,468.39
09/DD/YY,303.82,6605797,4.31,1.44,1.44,636.94,"1,129.82",300.00,304.43,298.28,486.62
09/DD/YY,299.51,6316911,-0.19,-0.06,-0.06,627.91,"1,112.37",300.57,300.57,296.38,478.30
