,30 SEP '25,30 JUN '25,31 MAR '25,31 DEC '24,30 SEP '24,30 JUN '24,31 MAR '24,31 DEC '23,30 SEP '23,30 JUN '23,31 MAR '23,31 DEC '22,30 SEP '22,30 JUN '22,31 MAR '22,31 DEC '21,30 SEP '21,30 JUN '21,31 MAR '21,31 DEC '20,30 SEP '20,30 JUN '20,31 MAR '20,31 DEC '19,30 SEP '19,30 JUN '19,31 MAR '19,31 DEC '18,30 SEP '18,30 JUN '18,31 MAR '18,31 DEC '17,30 SEP '17,30 JUN '17,31 MAR '17,31 DEC '16,30 SEP '16,30 JUN '16,31 MAR '16,31 DEC '15,30 SEP '15,30 JUN '15,31 MAR '15,31 DEC '14,30 SEP '14,30 JUN '14,31 MAR '14,31 DEC '13,30 SEP '13,30 JUN '13,31 MAR '13,31 DEC '12,30 SEP '12,30 JUN '12,31 MAR '12,31 DEC '11,30 SEP '11,30 JUN '11,31 MAR '11,31 DEC '10,30 SEP '10,30 JUN '10,31 MAR '10,31 DEC '09,30 SEP '09,30 JUN '09,31 MAR '09,31 DEC '08,30 SEP '08,30 JUN '08,31 MAR '08,31 DEC '07,31 DEC '06,31 DEC '05,31 DEC '04
Total interest income,"64,712","42,293","20,973","90,777","68,722","45,724","22,840","85,118","62,279","40,186","19,356","54,024","36,231","21,737","10,181","39,694","29,573","19,739","10,046","47,919","37,369","26,558","14,727","66,155","50,488","33,989","17,003","64,647","47,726","31,362","15,347","58,909","43,951","28,907","14,213","53,663","39,605","26,118","12,972","49,277","36,634","24,189","11,963","47,552","35,369","23,405","11,612","47,089","35,253","23,477","11,650","48,391","36,534","24,609","12,255","49,412","37,034","24,856","12,472","52,796","39,827","26,697","13,225","56,274","42,582","28,614","14,313","34,898","26,170","17,396","8,849","35,177","32,239","25,962","20,967"
Trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,761","1,168",596,"1,971","1,413",928,445,"1,685","1,208",781,374,"1,376",998,667,327,"1,358","1,019",720,377,"1,440","1,040",697,350,"1,098",803,533,267,918,688,472,266,177,126,85,47,173,225,190,145
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,736","4,438","2,262","8,937","6,614","4,325","2,144","8,438","6,288","4,222","2,110","8,116","5,997","3,959","1,925","8,098","6,201","4,235","2,088","8,475","6,383","4,330","2,164","9,666","7,292","4,800","2,415","11,319","8,543","5,596","2,709","5,287","3,753","2,356","1,132","3,451","3,278","1,921","1,883"
Debt securities,"14,690","9,582","4,707","18,042","13,362","8,732","4,262","16,108","11,998","7,820","3,783","11,781","8,308","5,265","2,563","9,253","6,865","4,511","2,312","11,234","8,864","6,418","3,472","14,955","11,388","7,722","3,941","14,406","10,603","7,008","3,414","12,946","9,652","6,399","3,173","11,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans held for sale,428,254,117,491,376,247,114,363,278,191,97,513,386,266,140,865,696,524,331,947,685,446,209,892,643,391,176,917,694,449,203,836,628,396,192,822,556,347,163,804,623,396,182,845,633,368,172,"1,303","1,079",756,374,"1,866","1,450",957,468,"1,702","1,230",828,449,"1,837","1,327",856,421,"2,113","1,635","1,077",482,"1,621","1,245",839,406,"2,220","2,793","2,359","2,029"
Mortgages held for sale,,,,,,,,,,,,,,,,,,,,,,,,,579,347,152,,587,377,179,786,590,373,182,784,549,342,161,785,609,386,177,767,580,365,170,"1,290","1,069",749,371,"1,825","1,412",936,459,"1,644","1,188",799,437,"1,736","1,241",792,387,"1,930","1,484",960,415,"1,573","1,211",817,394,"2,150","2,746","2,213","1,737"
Loans held for sale excluding mortgages held for sale,,,,,,,,,,,,,,,,,,,,,,,,,64,44,24,,107,72,24,50,38,23,10,38,7,5,2,19,14,10,5,78,53,3,2,13,10,7,3,41,38,21,9,58,42,29,12,101,86,64,34,183,151,117,67,48,34,22,12,70,47,146,292
Loans,"40,854","26,930","13,357","57,895","43,897","29,279","14,713","57,155","42,188","27,433","13,318","37,715","25,492","15,334","7,218","28,634","21,353","14,296","7,201","34,230","26,508","18,543","10,065","44,218","33,652","22,670","11,354","43,974","32,607","21,491","10,579","41,388","31,021","20,499","10,141","39,505","29,377","19,399","9,577","36,575","27,252","18,036","8,938","35,652","26,561","17,598","8,746","35,571","26,664","17,763","8,861","36,482","27,455","18,439","9,197","37,247","27,972","18,748","9,387","39,760","30,094","20,315","10,038","41,589","31,467","21,297","10,765","27,632","20,906","14,018","7,212","29,040","25,611","21,260","16,781"
Equity securities,461,297,147,677,502,346,150,682,516,364,170,707,519,363,170,608,415,269,137,554,423,322,206,962,693,446,210,992,732,452,231,799,560,374,175,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other interest income,"8,279","5,230","2,645","13,672","10,585","7,120","3,601","10,810","7,299","4,378","1,988","3,308","1,526",509,90,334,244,139,65,954,889,829,775,"5,128","4,112","2,760","1,322","4,358","3,090","1,962",920,"2,940","2,090","1,239",532,"1,457","1,175",766,374,990,732,504,254,932,679,436,210,723,515,332,163,587,409,258,125,548,409,253,122,435,311,193,84,335,249,172,91,181,140,98,52,293,332,232,129
Total interest expense,"-29,559","-19,090","-9,478","-43,101","-32,882","-21,574","-10,613","-32,743","-22,675","-13,687","-6,020","-9,074","-4,714","-2,318",-960,"-3,915","-3,056","-2,131","-1,238","-7,963","-6,768","-5,336","-3,415","-18,852","-14,457","-9,583","-4,692","-14,652","-10,375","-6,583","-3,109","-9,352","-6,707","-4,112","-1,889","-5,909","-4,253","-2,718","-1,305","-3,976","-2,921","-1,933",-977,"-4,025","-3,022","-1,999",-997,"-4,289","-3,256","-2,228","-1,151","-5,161","-3,947","-2,684","-1,367","-6,649","-5,163","-3,527","-1,821","-8,039","-6,133","-4,101","-2,078","-9,950","-7,758","-5,474","-2,937","-9,755","-7,751","-5,358","-3,089","-14,203","-12,288","-7,458","-3,817"
Deposits,"-15,458","-10,270","-5,209","-24,282","-18,405","-11,960","-5,811","-16,503","-11,174","-6,566","-2,761","-2,349",-754,-241,-83,-388,-303,-204,-112,"-2,804","-2,641","-2,327","-1,742","-8,635","-6,563","-4,239","-2,026","-5,622","-3,857","-2,358","-1,090","-3,013","-2,082","-1,213",-536,"-1,395",-995,-639,-307,-963,-722,-490,-258,"-1,096",-827,-554,-279,"-1,337","-1,040",-722,-369,"-1,727","-1,328",-900,-457,"-2,275","-1,768","-1,209",-615,"-2,832","-2,170","-1,449",-735,"-3,774","-2,861","-1,956",-999,"-4,521","-3,676","-2,657","-1,594","-8,152","-7,174","-3,848","-1,827"
Short-term borrowings,"-5,313","-2,974","-1,362","-5,311","-4,030","-2,595","-1,218","-3,848","-2,664","-1,531",-570,-582,-175,-17,14,41,28,21,9,-250,-262,-274,-291,"-2,316","-1,877","-1,242",-596,"-1,717","-1,171",-709,-311,-758,-503,-277,-114,-330,-229,-144,-67,-64,-51,-39,-18,-59,-41,-26,-12,-60,-46,-37,-20,-79,-55,-36,-16,-80,-66,-46,-26,-92,-66,-39,-18,-222,-210,-178,-123,"-1,478","-1,274",-782,-425,"-1,245",-992,-744,-353
