Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %,
11/DD/YY,"164,01",5737964,"0,36","0,22","0,22","279,43","371,62","162,33","166,93","160,86","176,81",
11/DD/YY,"163,65",4719316,"-0,35","-0,21","-0,21","278,82","370,58","164,30","164,66","161,57","176,21",
10/DD/YY,"164,00",5323660,"-1,26","-0,76","-0,16","279,41","371,59","163,35","164,90","162,91","176,80",
10/DD/YY,"165,26",4960464,"1,23","0,75","0,75","279,85","372,33","163,82","167,00","163,40","178,92",
10/DD/YY,"164,03",4963544,"-1,18","-0,71","-0,71","277,77","368,81","164,31","166,02","163,12","176,85",
10/DD/YY,"165,21",3601038,"-0,81","-0,49","-0,49","279,77","372,19","166,12","167,13","164,38","178,84",
10/DD/YY,"166,02",5056016,"2,16","1,32","1,32","281,14","374,50","164,96","166,69","164,90","180,21",
10/DD/YY,"163,86",5547545,"4,55","2,86","2,86","277,48","368,33","160,52","164,90","160,52","176,56",
10/DD/YY,"159,31",3735632,"1,19","0,75","0,75","269,78","355,32","158,90","160,09","157,90","168,88",
10/DD/YY,"158,12",4360462,"-1,11","-0,70","-0,70","267,76","351,92","159,57","159,74","157,22","166,87",
10/DD/YY,"159,23",4220552,"-2,74","-1,69","-1,69","269,64","355,10","161,45","162,06","159,19","168,75",
10/DD/YY,"161,97",5740986,"3,30","2,08","2,08","274,28","362,93","160,20","163,14","159,50","173,37",
10/DD/YY,"158,67",7965048,"-1,35","-0,84","-0,84","268,69","353,50","160,70","160,98","157,85","167,80",
10/DD/YY,"160,02",10477510,"-2,63","-1,62","-1,62","270,98","357,35","163,09","164,75","158,97","170,08",
10/DD/YY,"162,65",13673660,"7,31","4,71","4,71","275,43","364,87","162,93","166,77","161,64","174,52",
10/DD/YY,"155,34",8023826,"0,21","0,14","0,14","263,05","343,98","154,50","157,12","151,88","162,18",
10/DD/YY,"155,13",4735832,"3,27","2,15","2,15","262,70","343,38","154,28","155,62","153,35","161,83",
10/DD/YY,"151,86",5531731,"-4,41","-2,82","-2,82","257,16","334,03","156,86","157,95","151,84","156,31",
10/DD/YY,"156,27",6092604,"0,62","0,40","0,40","264,63","346,64","155,58","156,43","153,83","163,75",
10/DD/YY,"155,65",4038634,"-0,32","-0,21","-0,21","263,58","344,86","156,48","156,55","154,02","162,70",
10/DD/YY,"155,97",4590058,"-2,12","-1,34","-1,34","264,12","345,78","158,78","159,29","155,40","163,24",
10/DD/YY,"158,09",4696714,"0,50","0,32","0,32","267,71","351,84","158,00","158,73","155,01","166,82",
10/DD/YY,"157,59",5182306,"2,29","1,47","1,47","266,86","350,41","156,93","157,80","156,16","165,98",
10/DD/YY,"155,30",5087767,"-1,59","-1,01","-1,01","262,99","343,86","156,69","157,01","153,71","162,11",
10/DD/YY,"156,89",5467367,"-2,07","-1,30","-1,30","265,68","348,41","157,88","158,44","155,55","164,80",
09/DD/YY,"158,96",5547090,"-2,20","-1,37","-1,37","269,18","354,32","161,39","162,23","156,84","168,29",
09/DD/YY,"161,16",4186140,"1,05","0,66","0,66","272,91","360,61","160,69","161,33","159,72","172,00",
09/DD/YY,"160,11",5326866,"1,16","0,73","0,73","271,13","357,61","159,56","161,81","159,33","170,23",
09/DD/YY,"158,95",5351099,"1,07","0,68","0,68","269,17","354,30","157,39","159,25","156,63","168,27",
09/DD/YY,"157,88",5195184,"-2,88","-1,79","-1,79","267,36","351,24","161,10","161,47","157,84","166,47",
09/DD/YY,"160,76",5336240,"0,05","0,03","0,03","272,23","359,47","160,58","163,98","159,60","171,33",
09/DD/YY,"160,71",4421226,"0,80","0,50","0,50","272,15","359,33","159,33","161,03","157,83","171,24",
09/DD/YY,"159,91",14902000,"0,67","0,42","0,42","270,79","357,04","159,55","161,09","158,12","169,89",
09/DD/YY,"159,24",4323807,"1,83","1,16","1,16","269,66","355,12","157,90","160,14","157,49","168,76",
09/DD/YY,"157,41",4604289,"1,60","1,03","1,03","266,56","349,89","156,64","157,97","155,65","165,67",
09/DD/YY,"155,81",7539549,"-0,83","-0,53","-0,53","263,85","345,32","157,08","157,50","155,22","162,97",
09/DD/YY,"156,64",4829958,"0,25","0,16","0,16","265,26","347,69","157,35","158,48","155,88","164,37",
09/DD/YY,"156,39",4341609,"-0,09","-0,06","-0,06","264,83","346,98","156,05","156,87","155,62","163,95",
09/DD/YY,"156,48",7399670,"2,36","1,53","1,53","264,98","347,24","154,39","157,77","154,08","164,10",
09/DD/YY,"154,12",4945584,"1,90","1,25","1,25","260,99","340,49","152,90","154,53","151,42","160,12",
09/DD/YY,"152,22",6673185,"3,43","2,31","2,31","257,77","335,06","148,42","152,82","148,35","156,91",
09/DD/YY,"148,79",3821100,"0,70","0,47","0,47","251,96","325,26","148,32","149,20","147,25","151,12",
09/DD/YY,"148,09",5697479,"-2,44","-1,62","-1,62","250,78","323,26","151,12","151,86","146,29","149,94",
09/DD/YY,"150,53",3954989,"2,00","1,35","1,35","254,91","330,23","149,03","150,75","148,68","154,06",
09/DD/YY,"148,53",4339040,"-0,32","-0,21","-0,21","251,52","324,51","148,81","149,55","146,94","150,69",
09/DD/YY,"148,85",5330189,"-1,63","-1,08","-1,08","252,06","325,43","148,56","149,07","145,66","151,23",
08/DD/YY,"150,48",3629438,"0,30","0,20","0,20","254,82","330,09","149,89","150,75","149,13","153,98",
08/DD/YY,"150,18",3898468,"0,80","0,54","0,54","254,32","329,23","149,84","150,39","149,18","153,47",
08/DD/YY,"149,38",3329209,"0,41","0,28","0,28","252,96","326,94","148,37","150,12","148,03","152,12",
08/DD/YY,"148,97",4454022,"1,32","0,89","0,89","252,27","325,77","147,32","149,03","146,30","151,43",
08/DD/YY,"147,65",2596476,"-0,37","-0,25","-0,25","250,03","322,00","147,98","148,61","147,57","149,20",
