Date,Yield,Change,% Change,Total Return (Gross),Cumulative Return %
11/DD/YY,"4,13","-0,09","-2,13","4,13","133,33"
10/DD/YY,"4,22","-0,02","-0,47","4,22","138,42"
09/DD/YY,"4,24","-0,10","-2,30","4,24","139,55"
08/DD/YY,"4,34","-0,05","-1,14","4,34","145,20"
07/DD/YY,"4,39","-0,06","-1,35","4,39","148,02"
06/DD/YY,"4,45","0,10","2,30","4,45","151,41"
05/DD/YY,"4,35","-0,06","-1,36","4,35","145,76"
04/DD/YY,"4,41",,,"4,41","149,15"
03/DD/YY,"4,41","0,02","0,46","4,41","149,15"
02/DD/YY,"4,39","0,01","0,23","4,39","148,02"
01/DD/YY,"4,38","-0,11","-2,45","4,38","147,46"
12/DD/YY,"4,49","-0,10","-2,18","4,49","153,67"
11/DD/YY,"4,59","-0,31","-6,33","4,59","159,32"
10/DD/YY,"4,90","-0,06","-1,21","4,90","176,84"
09/DD/YY,"4,96","-0,36","-6,77","4,96","180,23"
08/DD/YY,"5,32","-0,06","-1,12","5,32","200,56"
07/DD/YY,"5,38","0,05","0,94","5,38","203,95"
06/DD/YY,"5,33","-0,01","-0,19","5,33","201,13"
05/DD/YY,"5,34",,,"5,34","201,69"
04/DD/YY,"5,34",,,"5,34","201,69"
03/DD/YY,"5,34","0,02","0,38","5,34","201,69"
02/DD/YY,"5,32",,,"5,32","200,56"
01/DD/YY,"5,32","-0,06","-1,12","5,32","200,56"
12/DD/YY,"5,38","0,05","0,94","5,38","203,95"
11/DD/YY,"5,33","-0,02","-0,37","5,33","201,13"
10/DD/YY,"5,35","0,04","0,75","5,35","202,26"
09/DD/YY,"5,31",,,"5,31","200,00"
08/DD/YY,"5,31",,,"5,31","200,00"
07/DD/YY,"5,31","0,22","4,32","5,31","200,00"
06/DD/YY,"5,09","0,01","0,20","5,09","187,57"
05/DD/YY,"5,08","0,27","5,61","5,08","187,01"
04/DD/YY,"4,81","-0,06","-1,23","4,81","171,75"
03/DD/YY,"4,87","0,32","7,03","4,87","175,14"
02/DD/YY,"4,55","0,24","5,57","4,55","157,06"
01/DD/YY,"4,31","0,01","0,23","4,31","143,50"
12/DD/YY,"4,30","0,48","12,57","4,30","142,94"
11/DD/YY,"3,82","0,77","25,25","3,82","115,82"
10/DD/YY,"3,05","0,07","2,35","3,05","72,32"
09/DD/YY,"2,98","0,69","30,13","2,98","68,36"
08/DD/YY,"2,29","0,02","0,88","2,29","29,38"
07/DD/YY,"2,27","0,77","51,33","2,27","28,25"
06/DD/YY,"1,50","0,71","89,87","1,50","-15,25"
05/DD/YY,"0,79","0,51","182,14","0,79","-55,37"
04/DD/YY,"0,28","-0,01","-3,45","0,28","-84,18"
03/DD/YY,"0,29","0,24","480,00","0,29","-83,62"
02/DD/YY,"0,05",,,"0,05","-97,18"
01/DD/YY,"0,05",,,"0,05","-97,18"
12/DD/YY,"0,05",,,"0,05","-97,18"
11/DD/YY,"0,05",,,"0,05","-97,18"
10/DD/YY,"0,05",,,"0,05","-97,18"
09/DD/YY,"0,05",,,"0,05","-97,18"
08/DD/YY,"0,05",,,"0,05","-97,18"
07/DD/YY,"0,05",,,"0,05","-97,18"
06/DD/YY,"0,05","0,04","400,00","0,05","-97,18"
05/DD/YY,"0,01",,,"0,01","-99,44"
04/DD/YY,"0,01",,,"0,01","-99,44"
03/DD/YY,"0,01",,,"0,01","-99,44"
02/DD/YY,"0,01","-0,05","-83,33","0,01","-99,44"
01/DD/YY,"0,06","-0,01","-14,29","0,06","-96,61"
12/DD/YY,"0,07","-0,02","-22,22","0,07","-96,05"
11/DD/YY,"0,09",,,"0,09","-94,92"
10/DD/YY,"0,09","0,01","12,50","0,09","-94,92"
09/DD/YY,"0,08","-0,01","-11,11","0,08","-95,48"
08/DD/YY,"0,09","-0,01","-10,00","0,09","-94,92"
07/DD/YY,"0,10",,,"0,10","-94,35"
06/DD/YY,"0,10","0,04","66,67","0,10","-94,35"
05/DD/YY,"0,06","0,02","50,00","0,06","-96,61"
04/DD/YY,"0,04","0,03","300,00","0,04","-97,74"
03/DD/YY,"0,01","-1,59","-99,38","0,01","-99,44"
02/DD/YY,"1,60",,,"1,60","-9,60"
01/DD/YY,"1,60","0,05","3,23","1,60","-9,60"
12/DD/YY,"1,55","-0,10","-6,06","1,55","-12,43"
11/DD/YY,"1,65","-0,11","-6,25","1,65","-6,78"
10/DD/YY,"1,76","-0,59","-25,11","1,76","-0,56"
09/DD/YY,"2,35","0,19","8,80","2,35","32,77"
08/DD/YY,"2,16","-0,39","-15,29","2,16","22,03"
07/DD/YY,"2,55","0,05","2,00","2,55","44,07"
06/DD/YY,"2,50","0,01","0,40","2,50","41,24"
05/DD/YY,"2,49","-0,27","-9,78","2,49","40,68"
04/DD/YY,"2,76","0,11","4,15","2,76","55,93"
03/DD/YY,"2,65","0,07","2,71","2,65","49,72"
02/DD/YY,"2,58",,,"2,58","45,76"
01/DD/YY,"2,58","-0,42","-14,00","2,58","45,76"
12/DD/YY,"3,00","0,72","31,58","3,00","69,49"
11/DD/YY,"2,28","0,06","2,70","2,28","28,81"
10/DD/YY,"2,22","-0,03","-1,33","2,22","25,42"
09/DD/YY,"2,25","0,28","14,21","2,25","27,12"
08/DD/YY,"1,97","0,04","2,07","1,97","11,30"
07/DD/YY,"1,93","-0,19","-8,96","1,93","9,04"
06/DD/YY,"2,12","0,31","17,13","2,12","19,77"
05/DD/YY,"1,81","0,04","2,26","1,81","2,26"
04/DD/YY,"1,77","1,77",,"1,77",
