Date,Price,CVol,Change,% Change,Open,High,Low
11/DD/YY,"17,17",,,,,"17,17","17,17"
11/DD/YY,"17,17",,"-0,27","-1,55","18,06","18,83","17,00"
10/DD/YY,"17,44",,"0,53","3,13","16,43","18,54","15,96"
10/DD/YY,"16,91",,"-0,01","-0,06","16,26","17,41","15,73"
10/DD/YY,"16,92",,"0,50","3,05","16,34","17,58","16,26"
10/DD/YY,"16,42",,"0,63","3,99","15,95","16,55","15,66"
10/DD/YY,"15,79",,"-0,58","-3,54","15,73","16,07","15,62"
10/DD/YY,"16,37",,"-0,93","-5,38","17,02","17,22","16,02"
10/DD/YY,"17,30",,"-1,30","-6,99","18,36","19,35","17,08"
10/DD/YY,"18,60",,"0,73","4,09","17,84","21,01","17,73"
10/DD/YY,"17,87",,"-0,36","-1,97","18,65","18,89","17,40"
10/DD/YY,"18,23",,"-2,55","-12,27","20,53","21,02","18,23"
10/DD/YY,"20,78",,"-4,53","-17,90","28,41","28,99","20,73"
10/DD/YY,"25,31",,"4,67","22,63","20,49","25,43","19,85"
10/DD/YY,"20,64",,"-0,17","-0,82","20,02","22,44","19,11"
10/DD/YY,"20,81",,"1,78","9,35","21,46","22,94","19,18"
10/DD/YY,"19,03",,"-2,63","-12,14","19,45","20,77","18,61"
10/DD/YY,"21,66",,"5,23","31,83","16,36","22,44","16,23"
10/DD/YY,"16,43",,"0,13","0,80","16,31","17,27","16,26"
10/DD/YY,"16,30",,"-0,94","-5,45","17,17","17,20","16,23"
10/DD/YY,"17,24",,"0,87","5,31","16,58","17,55","16,19"
10/DD/YY,"16,37",,"-0,28","-1,68","16,74","17,09","16,29"
10/DD/YY,"16,65",,"0,02","0,12","16,35","17,06","16,20"
10/DD/YY,"16,63",,"0,34","2,09","16,12","16,92","15,93"
10/DD/YY,"16,29",,"0,01","0,06","17,28","17,28","15,98"
09/DD/YY,"16,28",,"0,16","0,99","16,49","16,70","16,02"
09/DD/YY,"16,12",,"0,83","5,43","15,84","16,29","15,74"
09/DD/YY,"15,29",,"-1,45","-8,66","16,89","17,05","15,29"
09/DD/YY,"16,74",,"0,56","3,46","16,55","17,74","16,32"
09/DD/YY,"16,18",,"-0,46","-2,76","16,57","17,21","16,18"
09/DD/YY,"16,64",,"0,54","3,35","16,10","17,07","15,95"
09/DD/YY,"16,10",,"0,65","4,21","16,14","16,35","15,78"
09/DD/YY,"15,45",,"-0,25","-1,59","15,76","16,13","15,29"
09/DD/YY,"15,70",,"-0,02","-0,13","14,93","15,80","14,33"
09/DD/YY,"15,72",,"-0,64","-3,91","16,42","16,75","15,26"
09/DD/YY,"16,36",,"0,67","4,27","15,60","16,38","15,44"
09/DD/YY,"15,69",,"0,93","6,30","15,14","15,84","14,92"
09/DD/YY,"14,76",,"0,05","0,34","14,62","14,97","14,41"
09/DD/YY,"14,71",,"-0,64","-4,17","15,19","15,24","14,65"
09/DD/YY,"15,35",,"0,31","2,06","14,98","15,63","14,63"
09/DD/YY,"15,04",,"-0,07","-0,46","15,02","15,82","14,97"
09/DD/YY,"15,11",,"-0,07","-0,46","15,58","15,65","14,99"
09/DD/YY,"15,18",,"-0,12","-0,78","15,23","16,92","14,74"
09/DD/YY,"15,30",,"-1,05","-6,42","16,22","16,35","15,28"
09/DD/YY,"16,35",,"-0,82","-4,78","17,40","17,57","16,34"
