Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
11/DD/YY,"87,13",16736071,"-0,17","-0,19","-0,19","176,12","771,05","87,00","88,50","85,88","330,94"
11/DD/YY,"87,30",12769340,"0,33","0,38","0,38","176,46","772,75","87,14","87,89","85,85","331,78"
10/DD/YY,"86,97",14776740,"0,98","1,14","1,14","175,79","769,45","85,48","87,35","85,01","330,15"
10/DD/YY,"85,99",14829970,"-0,01","-0,01","-0,01","173,81","759,65","86,08","87,26","85,88","325,30"
10/DD/YY,"86,00","16444349,9999999","-0,90","-1,04","-1,04","173,83","759,75","86,82","87,24","85,67","325,35"
10/DD/YY,"86,90",13200960,"-0,11","-0,13","-0,13","175,65","768,75","87,06","87,30","85,78","329,80"
10/DD/YY,"87,01",11681990,"0,60","0,69","0,69","175,87","769,85","86,90","87,34","86,31","330,34"
10/DD/YY,"86,41",14011440,"1,95","2,31","2,31","174,66","763,85","84,80","86,88","84,76","327,38"
10/DD/YY,"84,46",14157820,"0,58","0,69","0,69","170,72","744,36","84,31","85,48","83,75","317,73"
10/DD/YY,"83,88",18955030,"-0,88","-1,04","-1,04","169,55","738,56","85,15","85,16","83,14","314,86"
10/DD/YY,"84,76",20101120,"-1,26","-1,46","-1,46","171,32","747,36","86,12","87,31","84,66","319,21"
10/DD/YY,"86,02",15777220,"2,74","3,29","3,29","173,87","759,95","83,62","86,14","83,09","325,45"
10/DD/YY,"83,28",18798990,"-0,72","-0,86","-0,86","168,33","732,56","84,45","84,53","82,31","311,89"
10/DD/YY,"84,00",22715620,"-2,46","-2,85","-2,85","169,79","739,76","86,99","87,43","83,00","315,46"
10/DD/YY,"86,46",22909410,"1,90","2,25","2,25","174,76","764,35","85,17","87,47","85,16","327,62"
10/DD/YY,"84,56",36260550,"5,64","7,15","7,15","170,92","745,36","82,52","86,06","80,39","318,23"
10/DD/YY,"78,92",14229290,"1,30","1,67","1,67","159,52","688,97","78,74","79,23","78,28","290,33"
10/DD/YY,"77,62",16004290,"-2,27","-2,84","-2,84","156,89","675,98","79,61","80,44","77,62","283,90"
10/DD/YY,"79,89",8432166,"0,16","0,20","0,20","161,48","698,67","79,91","80,75","79,42","295,13"
10/DD/YY,"79,73",11277370,"-1,41","-1,74","-1,74","161,16","697,07","81,26","81,33","79,54","294,34"
10/DD/YY,"81,14",10371260,"0,45","0,56","0,56","164,01","711,17","80,87","81,36","80,54","301,31"
10/DD/YY,"80,69",12837750,"0,02","0,02","0,02","163,10","706,67","80,56","81,46","79,57","299,09"
10/DD/YY,"80,67",10124900,"0,17","0,21","0,21","163,06","706,47","81,02","81,69","80,44","298,99"
10/DD/YY,"80,50",11419980,"-0,37","-0,46","-0,46","162,71","704,77","80,70","81,05","80,04","298,15"
10/DD/YY,"80,87",16961910,"-2,95","-3,52","-3,52","163,46","708,47","83,10","83,60","80,77","299,98"
09/DD/YY,"83,82",11428990,"-0,83","-0,98","-0,98","169,42","737,96","84,66","85,12","82,66","314,57"
09/DD/YY,"84,65",9834068,"-0,36","-0,42","-0,42","171,10","746,26","84,70","85,19","84,04","318,67"
09/DD/YY,"85,01",8502912,"0,69","0,82","0,82","171,83","749,86","84,69","85,64","84,56","320,45"
09/DD/YY,"84,32",8514892,"0,21","0,25","0,25","170,44","742,96","83,69","84,66","83,56","317,04"
09/DD/YY,"84,11",9478931,"-0,26","-0,31","-0,31","170,01","740,86","84,65","85,37","83,66","316,00"
09/DD/YY,"84,37",14818510,"-0,79","-0,93","-0,93","170,54","743,46","85,15","86,66","83,67","317,29"
09/DD/YY,"85,16",14544980,"0,52","0,61","0,61","172,13","751,35","83,88","85,28","83,74","321,19"
09/DD/YY,"84,64",36482390,"1,14","1,37","1,37","171,08","746,16","83,83","84,93","82,93","318,62"
09/DD/YY,"83,50",13021110,"1,02","1,24","1,24","168,78","734,76","82,57","83,52","81,94","312,98"
09/DD/YY,"82,48",14746100,"1,09","1,34","1,34","166,72","724,56","81,22","82,72","80,54","307,94"
09/DD/YY,"81,39",10705920,"-0,02","-0,02","-0,02","164,51","713,67","81,56","81,61","80,09","302,55"
09/DD/YY,"81,41",9563192,"-0,05","-0,06","-0,06","164,55","713,87","81,61","81,82","81,13","302,65"
09/DD/YY,"81,46",10498610,"0,21","0,26","0,26","164,65","714,37","81,10","81,64","80,79","302,89"
09/DD/YY,"81,25",17785770,"0,95","1,18","1,18","164,23","712,27","80,20","81,39","79,78","301,85"
09/DD/YY,"80,30",16460210,"-0,46","-0,57","-0,57","162,31","702,77","80,66","81,24","79,91","297,16"
09/DD/YY,"80,76",17157300,"1,62","2,05","2,05","163,24","707,37","79,31","81,46","79,00","299,43"
09/DD/YY,"79,14",17106970,"0,18","0,23","0,23","159,97","691,17","78,99","79,79","78,56","291,42"
09/DD/YY,"78,96",20661440,"-2,87","-3,51","-3,51","159,60","689,37","81,64","82,02","78,70","290,53"
09/DD/YY,"81,83",10822310,"1,32","1,64","1,64","165,40","718,06","80,75","82,13","80,23","304,72"
09/DD/YY,"80,51",11173970,"-1,27","-1,55","-1,55","162,73","704,87","81,73","82,01","80,02","298,19"
09/DD/YY,"81,78",13325980,"-0,40","-0,49","-0,49","165,30","717,56","81,71","81,82","80,44","304,48"
08/DD/YY,"82,18",12041270,"0,20","0,24","0,24","166,11","721,56","81,97","82,81","81,80","306,45"
08/DD/YY,"81,98",13963180,"-0,52","-0,63","-0,63","165,71","719,56","82,88","83,13","81,92","305,47"
